Company,MaternityLeave,PaternityLeave,Industry
Netflix,52,52,Technology
Bill and Melinda Gates Foundation,52,52,Philanthropy
Jamba Juice,44,N/A,Hospitality
University of Regina,50,35,Educational Services
Army (British),33,2,Government: Federal
University of New Brunswick,37,37,Educational Services
Victoria University,36,36,Educational Services
Simon Fraser University,35,18,Educational Services
Queen's University,35,15,Educational Services
University of Saskatchewan,35,35,Educational Services
"Automattic, Inc.",32,N/A,Technology
University of California Berkeley,32,16,Educational Services
McGill University,31,12,Educational Services
Dalhousie University,31,31,Educational Services
University of Toronto,30,10,Educational Services
McMaster University,30,19,Educational Services
Etsy,26,26,Technology
Adobe Systems,26,10,Technology
Spotify,26,26,Technology
Mozilla,26,12,Technology
AO.com,26,N/A,Retail
Morrison & Foerster LLP,26,N/A,Law
Organizer Inc.,26,N/A,Technology
Worldpay,26,N/A,Technology
Zynga,26,12,Technology
University of British Columbia,26,10,Educational Services
DocuSign,24,8,Technology
eBay Inc.,24,12,Technology
Google,20,12,Technology
72andsunny,17,4,Advertising
Motorola Mobility,15,N/A,Technology
Open Society Foundations,24,24,Philanthropy
Santa Clara University,24,12,Educational Services
World Health Organization,24,4,Government: International
ZestFinance,24,N/A,Finance
World First,22,2,Services: Other
Tapad,24,24,Technology
"Site 1001, Inc.",24,0,Technology
"Orrick, Herrington & Sutcliffe LLP",22,5,Law
University of Waterloo,23,23,Educational Services
Avaya,6,3,Technology
NVIDIA,14,12,Technology
Lenovo,22,7,Technology
"University of California, Los Angeles",0,11,Educational Services
Latham & Watkins LLP,18,4,Law
University of California San Diego,22,11,Educational Services
"University of California, Irvine",22,11,Educational Services
"University of California, Davis",22,11,Educational Services
FireEye Inc.,21,16,Technology
Mitie,21,N/A,Services: Food and Hospitality
Microsoft,12,12,Technology
Dropbox,16,8,Technology
"University of California, Riverside",20,10,Educational Services
Amazon,14,6,Technology
American Express Company,12,20,Finance
Credit Suisse,12,1,Finance
Dow Jones,12,7,Media
IBM,12,12,Technology
Shearman & Sterling LLP,20,8,Law
Standard Charted,16,10,Finance
The Estee Lauder Companies Inc.,12,20,Cosmetics
Twitter,20,20,Technology
Winston & Strawn LLP,20,20,Law
Concordia University Chicago,20,N/A,Educational Services
Yammer,20,N/A,Technology
Stonyfield Farm,20,N/A,Consumer Goods
"University of California, Santa Cruz",13,10,Educational Services
"University of California, Santa Barbara",20,10,Educational Services
Atlassian,20,N/A,Technology
New Mexico State University,20,20,Educational Services
Enigma,20,10,Technology
VMware,8,18,Technology
Mailchimp,18,10,Technology
Korn Ferry,18,N/A,Services: Staffing
Foley Hoag,18,18,Law
Squarespace,18,18,Technology
Bloomberg,17,4,Media
WilmerHale,18,N/A,Law
CA Technologies,15,12,Technology
Wilson Sonsini Goodrich & Rosati,18,N/A,Law
Akin Gump Strauss Hauer & Feld LLP,18,N/A,Law
Allen & Over,15,N/A,Law
Apple,18,6,Technology
Arnold & Porter LLP,18,6,Law
Baker & McKenzie,18,N/A,Law
Bracewell & Guiliani LLP,18,N/A,Law
Brown Rudnick LLP,18,N/A,Law
"Cadwalader, Wickersham & Taft LLP",18,N/A,Law
Cahill Gordon & Reindel LLP,18,N/A,Law
Capital One Financial Corporation,12,9,Finance
Chadbourne & Parke LLP,18,N/A,Law
Cleary Gottlieb Steen & Hamilton LLP,18,N/A,Law
Clifford Chance LLP,18,4,Law
Cooley LLP,13,10,Law
Covington & Burling LLP,18,6,Law
"Cravath, Swaine & Moore LLP",18,4,Law
Crowell & Moring,18,N/A,Law
Davis Polk & Wardwell LLP,18,N/A,Law
Foley & Lardner LLP,18,N/A,Law
"Fried, Frank, Harris, Shriver & Jacobson LLP",18,9,Law
Goodwin Procter LLP,18,4,Law
Hogan Lovells,18,N/A,Law
Jenner & Brock,18,N/A,Law
Jones Day,18,N/A,Law
Kirkland & Ellis LLP,16,N/A,Law
Linklaters LLP,29,N/A,Law
Mayer Brown,18,N/A,Law
Paul Weiss,18,N/A,Law
Perkins Coie,12,N/A,Law
Pillsbury Winthrop Shaw Pittman LLP,18,12,Law
Sidley Austin LLP,18,4,Law
Squire Patton Boggs,18,N/A,Law
Starbucks Corporation,6,6,Services: Food and Hospitality
Sullivan & Cromwell LLP,18,N/A,Law
Yum! Brands,18,6,Services: Food and Hospitality
Paul Hastings,18,N/A,Law
GitHub,18,20,Technology